filename,source_filename,original_format,arkid,family,source,owner,standardized_species,original_url,license,adipose_fin,pelvic_fin,barbel,multiple_dorsal_fin,file_name,verbatim_species,species
INHS_FISH_107832.jpg,INHS_FISH_107832.jpg,jpg,79497k9r,Ictaluridae,GLIN,INHS,noturus nocturnus,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/79497k9r.jpg,CC BY-NC,,,,,Images/chunk_1/INHS_FISH_107832.jpg,,
INHS_FISH_25132.jpg,INHS_FISH_25132.jpg,jpg,jw38b330,Cyprinidae,GLIN,INHS,notropis atherinoides,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/jw38b330.jpg,CC BY-NC,,,,,Images/chunk_1/INHS_FISH_25132.jpg,,
INHS_FISH_40481.jpg,INHS_FISH_40481.jpg,jpg,zj534d84,Cyprinidae,GLIN,INHS,notropis texanus,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/zj534d84.jpg,CC BY-NC,,,,,Images/chunk_1/INHS_FISH_40481.jpg,,
ark-_65665_m38f1c86b3282243d9b4b96d24f1983f3d.jpg,ark-_65665_m38f1c86b3282243d9b4b96d24f1983f3d.jpg,jpg,g898t46h,mullidae,iDigBio,usnm,parupeneus multifasciatus,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/g898t46h.jpg,Usage Conditions Apply,,,,,Images/chunk_1/ark-_65665_m38f1c86b3282243d9b4b96d24f1983f3d.jpg,,
INHS_FISH_15401.jpg,INHS_FISH_15401.jpg,jpg,8c45003f,Poeciliidae,GLIN,INHS,gambusia affinis,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/8c45003f.jpg,CC BY-NC,,,,,Images/chunk_1/INHS_FISH_15401.jpg,,
JFBM-FISH-0017464.jpg,JFBM-FISH-0017464.jpg,jpg,sj218b3p,Cyprinidae,GLIN,JFBM,notropis percobromus,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/JFBM/sj218b3p.jpg,CC0 1.0,,,,,Images/chunk_1/JFBM-FISH-0017464.jpg,,
JFBM-FISH-0044551.jpg,JFBM-FISH-0044551.jpg,jpg,hh75dg90,Centrarchidae,GLIN,JFBM,lepomis macrochirus,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/JFBM/hh75dg90.jpg,CC0 1.0,,,,,Images/chunk_1/JFBM-FISH-0044551.jpg,,
1490626066491rxMus0KuSaUKm5Pu.jpg,1490626066491rxMus0KuSaUKm5Pu.jpg,jpg,df021p61,clupeidae,iDigBio,mnhn,harengula clupeola,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mnhn/df021p61.jpg,CC BY,,,,,Images/chunk_1/1490626066491rxMus0KuSaUKm5Pu.jpg,,
88493_lat_FMNH_FZ#2.jpg,88493_lat_FMNH_FZ.jpg,jpg,p0989864,Cyprinidae,GLIN,FMNH,cyprinella lutrensis,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/FMNH/p0989864.jpg,CC BY-NC,,,,,Images/chunk_1/88493_lat_FMNH_FZ#2.jpg,,
INHS_FISH_51474.jpg,INHS_FISH_51474.jpg,jpg,bt58j67m,Centrarchidae,GLIN,INHS,chaenobryttus gulosus,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/bt58j67m.jpg,CC BY-NC,,,,,Images/chunk_1/INHS_FISH_51474.jpg,,
INHS_FISH_106534.jpg,INHS_FISH_106534.jpg,jpg,w1765355,Centrarchidae,GLIN,INHS,lepomis macrochirus,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/w1765355.jpg,CC BY-NC,,,,,Images/chunk_1/INHS_FISH_106534.jpg,,
1533909216283NFqKgyIkkgLJ7CSA#22.jpg,1533909216283NFqKgyIkkgLJ7CSA.jpg,jpg,gs98xc28,cyprinidae,iDigBio,mnhn,pseudophoxinus drusensis,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mnhn/gs98xc28.jpg,CC BY,,,,,Images/chunk_1/1533909216283NFqKgyIkkgLJ7CSA#22.jpg,,
JFBM-FISH-0021227.jpg,JFBM-FISH-0021227.jpg,jpg,f598pc2c,Cyprinidae,GLIN,JFBM,cyprinella lutrensis,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/JFBM/f598pc2c.jpg,CC0 1.0,,,,,Images/chunk_1/JFBM-FISH-0021227.jpg,,
UWZM-F-0003797.JPG,UWZM-F-0003797.JPG,jpg,xq942w8t,Percidae,GLIN,UWZM,perca flavescens,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/UWZM/xq942w8t.jpg,CC0 1.0,,,,,Images/chunk_1/UWZM-F-0003797.JPG,,
JFBM-FISH-0041169.jpg,JFBM-FISH-0041169.jpg,jpg,td29pj5w,Ictaluridae,GLIN,JFBM,noturus flavus,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/JFBM/td29pj5w.jpg,CC0 1.0,,,,,Images/chunk_1/JFBM-FISH-0041169.jpg,,
126269_lat_FMNH_FZ#0.jpg,126269_lat_FMNH_FZ.jpg,jpg,g429zb7v,Salmonidae,GLIN,FMNH,oncorhynchus mykiss,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/FMNH/g429zb7v.jpg,CC BY-NC,,,,,Images/chunk_1/126269_lat_FMNH_FZ#0.jpg,,
87517_lat_FMNH_FZ#1.jpg,87517_lat_FMNH_FZ.jpg,jpg,tf251b0x,Osmeridae,GLIN,FMNH,osmerus mordax,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/FMNH/tf251b0x.jpg,CC BY-NC,,,,,Images/chunk_1/87517_lat_FMNH_FZ#1.jpg,,
1860.6.16.182-5b_Pimelodus elongatus_l-S.jpg,1860.6.16.182-5b_Pimelodus elongatus_l-S.jpg,jpg,jc16hb0k,pimelodidae,iDigBio,nhmuk,pimelodella elongata,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/nhmuk/jc16hb0k.jpg,CC BY 4.0,,,,,Images/chunk_1/1860.6.16.182-5b_Pimelodus elongatus_l-S.jpg,,
72149_lat_FMNH_FZ_o.jpg,72149_lat_FMNH_FZ_o.jpg,jpg,79526x3k,Cyprinidae,GLIN,FMNH,notropis atherinoides,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/FMNH/79526x3k.jpg,CC BY-NC,,,,,Images/chunk_1/72149_lat_FMNH_FZ_o.jpg,,
ark-_65665_m37a0162311c184801862843e1188acf6c.jpg,ark-_65665_m37a0162311c184801862843e1188acf6c.jpg,jpg,sx99jj1x,acanthuridae,iDigBio,usnm,zebrasoma scopas,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/sx99jj1x.jpg,Usage Conditions Apply,,,,,Images/chunk_1/ark-_65665_m37a0162311c184801862843e1188acf6c.jpg,,
INHS_FISH_74251.jpg,INHS_FISH_74251.jpg,jpg,wh10jm39,Ictaluridae,GLIN,INHS,noturus albater,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/wh10jm39.jpg,CC BY-NC,,,,,Images/chunk_1/INHS_FISH_74251.jpg,,
